Year_Location,Year,LocationAbbr,LocationDesc,Data_Value,Age,State_Tax
2002DE,2002,DE,Delaware,27.9,25 to 44 Years,0.24
2001DE,2001,DE,Delaware,32.8,18 to 24 Years,0.24
2001DE,2001,DE,Delaware,10.1,65 Years and Older,0.24
2001DE,2001,DE,Delaware,22.8,45 to 64 Years,0.24
2001DE,2001,DE,Delaware,31.2,25 to 44 Years,0.24
2007DE,2007,DE,Delaware,22.4,18 to 24 Years,0.85
2007DE,2007,DE,Delaware,21.5,25 to 44 Years,0.85
2007DE,2007,DE,Delaware,19.9,45 to 64 Years,0.85
2008DE,2008,DE,Delaware,20.3,45 to 64 Years,1.15
2008DE,2008,DE,Delaware,20.2,18 to 24 Years,1.15
2008DE,2008,DE,Delaware,19.4,25 to 44 Years,1.15
2008DE,2008,DE,Delaware,8.3,65 Years and Older,1.15
1998DE,1998,DE,Delaware,7.8,65 Years and Older,0.24
1998DE,1998,DE,Delaware,30.3,25 to 44 Years,0.24
1998DE,1998,DE,Delaware,28.2,18 to 24 Years,0.24
1998DE,1998,DE,Delaware,24.9,45 to 64 Years,0.24
2000DE,2000,DE,Delaware,20.1,45 to 64 Years,0.24
2000DE,2000,DE,Delaware,12,65 Years and Older,0.24
2000DE,2000,DE,Delaware,31.1,18 to 24 Years,0.24
2000DE,2000,DE,Delaware,27.3,25 to 44 Years,0.24
2009DE,2009,DE,Delaware,8.7,65 Years and Older,1.375
2009DE,2009,DE,Delaware,24.1,18 to 24 Years,1.375
2009DE,2009,DE,Delaware,21.4,25 to 44 Years,1.375
2009DE,2009,DE,Delaware,18.5,45 to 64 Years,1.375
2006DE,2006,DE,Delaware,21.6,45 to 64 Years,0.55
2006DE,2006,DE,Delaware,26.9,18 to 24 Years,0.55
2006DE,2006,DE,Delaware,8.6,65 Years and Older,0.55
2003DE,2003,DE,Delaware,20.6,45 to 64 Years,0.55
2006DE,2006,DE,Delaware,26.2,25 to 44 Years,0.55
2010DE,2010,DE,Delaware,17.7,45 to 64 Years,1.6
2010DE,2010,DE,Delaware,19.6,18 to 24 Years,1.6
2010DE,2010,DE,Delaware,21.7,25 to 44 Years,1.6
2010DE,2010,DE,Delaware,7.1,65 Years and Older,1.6
2003DE,2003,DE,Delaware,26.7,18 to 24 Years,0.55
2003DE,2003,DE,Delaware,27.6,25 to 44 Years,0.55
2003DE,2003,DE,Delaware,8.6,65 Years and Older,0.55
1996DE,1996,DE,Delaware,25.7,18 to 24 Years,0.24
2005DE,2005,DE,Delaware,21.1,45 to 64 Years,0.55
2005DE,2005,DE,Delaware,24.8,25 to 44 Years,0.55
2005DE,2005,DE,Delaware,25.5,18 to 24 Years,0.55
2005DE,2005,DE,Delaware,7.9,65 Years and Older,0.55
2007DE,2007,DE,Delaware,9.9,65 Years and Older,0.85
2002DE,2002,DE,Delaware,24.3,45 to 64 Years,0.24
1999DE,1999,DE,Delaware,37.1,18 to 24 Years,0.24
1999DE,1999,DE,Delaware,31.3,25 to 44 Years,0.24
1999DE,1999,DE,Delaware,21.3,45 to 64 Years,0.24
1999DE,1999,DE,Delaware,10.6,65 Years and Older,0.24
2004DE,2004,DE,Delaware,10.2,65 Years and Older,0.55
2004DE,2004,DE,Delaware,23.7,45 to 64 Years,0.55
2004DE,2004,DE,Delaware,28,25 to 44 Years,0.55
2004DE,2004,DE,Delaware,34.6,18 to 24 Years,0.55
2004DC,2004,DC,District of Columbia,20.1,18 to 24 Years,1
2004DC,2004,DC,District of Columbia,23.5,25 to 44 Years,1
2004DC,2004,DC,District of Columbia,24.6,45 to 64 Years,1
2004DC,2004,DC,District of Columbia,8.1,65 Years and Older,1
1998DC,1998,DC,District of Columbia,21.2,45 to 64 Years,0.65
1998DC,1998,DC,District of Columbia,21.7,18 to 24 Years,0.65
1998DC,1998,DC,District of Columbia,26.7,25 to 44 Years,0.65
1998DC,1998,DC,District of Columbia,8.6,65 Years and Older,0.65
2006DC,2006,DC,District of Columbia,12,65 Years and Older,1
2006DC,2006,DC,District of Columbia,17.6,25 to 44 Years,1
2006DC,2006,DC,District of Columbia,19.2,45 to 64 Years,1
2006DC,2006,DC,District of Columbia,23.3,18 to 24 Years,1
2003DC,2003,DC,District of Columbia,9,65 Years and Older,1
2003DC,2003,DC,District of Columbia,31.5,18 to 24 Years,1
2003DC,2003,DC,District of Columbia,27.4,45 to 64 Years,1
2003DC,2003,DC,District of Columbia,20.9,25 to 44 Years,1
2010DC,2010,DC,District of Columbia,10.3,65 Years and Older,2.5
2009DC,2009,DC,District of Columbia,15.6,25 to 44 Years,2.125
2009DC,2009,DC,District of Columbia,17.5,45 to 64 Years,2.125
2009DC,2009,DC,District of Columbia,18.1,18 to 24 Years,2.125
2009DC,2009,DC,District of Columbia,8.9,65 Years and Older,2.125
2008DC,2008,DC,District of Columbia,23.8,18 to 24 Years,1.25
2008DC,2008,DC,District of Columbia,19.8,45 to 64 Years,1.25
2008DC,2008,DC,District of Columbia,14.9,25 to 44 Years,1.25
2008DC,2008,DC,District of Columbia,10.6,65 Years and Older,1.25
1997DC,1997,DC,District of Columbia,22.1,25 to 44 Years,0.65
1997DC,1997,DC,District of Columbia,18.2,45 to 64 Years,0.65
1996DC,1996,DC,District of Columbia,24.7,45 to 64 Years,0.65
1996DC,1996,DC,District of Columbia,11,65 Years and Older,0.65
1996DC,1996,DC,District of Columbia,18.7,18 to 24 Years,0.65
1996DC,1996,DC,District of Columbia,22.2,25 to 44 Years,0.65
2002DC,2002,DC,District of Columbia,10.1,65 Years and Older,0.65
2002DC,2002,DC,District of Columbia,15.1,18 to 24 Years,0.65
2002DC,2002,DC,District of Columbia,23.3,45 to 64 Years,0.65
2002DC,2002,DC,District of Columbia,24.6,25 to 44 Years,0.65
1997DC,1997,DC,District of Columbia,20.8,18 to 24 Years,0.65
1997DC,1997,DC,District of Columbia,9.4,65 Years and Older,0.65
2007DC,2007,DC,District of Columbia,20.9,45 to 64 Years,1
2007DC,2007,DC,District of Columbia,18.1,18 to 24 Years,1
2007DC,2007,DC,District of Columbia,17.2,25 to 44 Years,1
2007DC,2007,DC,District of Columbia,10.5,65 Years and Older,1
2001DC,2001,DC,District of Columbia,22.2,25 to 44 Years,0.65
2001DC,2001,DC,District of Columbia,23.6,45 to 64 Years,0.65
2001DC,2001,DC,District of Columbia,25,18 to 24 Years,0.65
2001DC,2001,DC,District of Columbia,9,65 Years and Older,0.65
2010DC,2010,DC,District of Columbia,19.9,45 to 64 Years,2.5
2010DC,2010,DC,District of Columbia,13.9,18 to 24 Years,2.5
2010DC,2010,DC,District of Columbia,13.6,25 to 44 Years,2.5
2000DC,2000,DC,District of Columbia,20.9,25 to 44 Years,0.65
2000DC,2000,DC,District of Columbia,25.5,18 to 24 Years,0.65
2000DC,2000,DC,District of Columbia,9.1,65 Years and Older,0.65
2000DC,2000,DC,District of Columbia,25.3,45 to 64 Years,0.65
1999DC,1999,DC,District of Columbia,8.2,65 Years and Older,0.65
1999DC,1999,DC,District of Columbia,23.4,25 to 44 Years,0.65
1999DC,1999,DC,District of Columbia,20,45 to 64 Years,0.65
1999DC,1999,DC,District of Columbia,28.2,18 to 24 Years,0.65
2005DC,2005,DC,District of Columbia,26.1,45 to 64 Years,1
2005DC,2005,DC,District of Columbia,21.3,18 to 24 Years,1
2005DC,2005,DC,District of Columbia,19.1,25 to 44 Years,1
2005DC,2005,DC,District of Columbia,10.8,65 Years and Older,1
1999FL,1999,FL,Florida,21.5,45 to 64 Years,0.339
1999FL,1999,FL,Florida,23.6,18 to 24 Years,0.339
1999FL,1999,FL,Florida,26.3,25 to 44 Years,0.339
1999FL,1999,FL,Florida,9.4,65 Years and Older,0.339
2009FL,2009,FL,Florida,19,25 to 44 Years,0.839
2009FL,2009,FL,Florida,19.3,45 to 64 Years,0.839
2009FL,2009,FL,Florida,28.1,18 to 24 Years,0.839
2009FL,2009,FL,Florida,7.6,65 Years and Older,0.839
1997FL,1997,FL,Florida,29.7,18 to 24 Years,0.339
1997FL,1997,FL,Florida,29.3,25 to 44 Years,0.339
1997FL,1997,FL,Florida,23.9,45 to 64 Years,0.339
1997FL,1997,FL,Florida,11.8,65 Years and Older,0.339
2008FL,2008,FL,Florida,19.7,25 to 44 Years,0.339
2008FL,2008,FL,Florida,19.8,45 to 64 Years,0.339
2008FL,2008,FL,Florida,21.9,18 to 24 Years,0.339
2008FL,2008,FL,Florida,8.6,65 Years and Older,0.339
2007FL,2007,FL,Florida,21,18 to 24 Years,0.339
2007FL,2007,FL,Florida,22,45 to 64 Years,0.339
2007FL,2007,FL,Florida,22.4,25 to 44 Years,0.339
2007FL,2007,FL,Florida,9.7,65 Years and Older,0.339
2006FL,2006,FL,Florida,30.9,18 to 24 Years,0.339
2006FL,2006,FL,Florida,8.3,65 Years and Older,0.339
2006FL,2006,FL,Florida,23.7,25 to 44 Years,0.339
2006FL,2006,FL,Florida,23.4,45 to 64 Years,0.339
2005FL,2005,FL,Florida,24.3,45 to 64 Years,0.339
2005FL,2005,FL,Florida,25.7,25 to 44 Years,0.339
2005FL,2005,FL,Florida,25.9,18 to 24 Years,0.339
2005FL,2005,FL,Florida,9.4,65 Years and Older,0.339
2004FL,2004,FL,Florida,20.9,45 to 64 Years,0.339
2004FL,2004,FL,Florida,25.1,18 to 24 Years,0.339
2004FL,2004,FL,Florida,26.5,25 to 44 Years,0.339
2004FL,2004,FL,Florida,7.5,65 Years and Older,0.339
1998FL,1998,FL,Florida,26.6,18 to 24 Years,0.339
1998FL,1998,FL,Florida,26.1,25 to 44 Years,0.339
1998FL,1998,FL,Florida,24.8,45 to 64 Years,0.339
1998FL,1998,FL,Florida,10.6,65 Years and Older,0.339
2003FL,2003,FL,Florida,26.2,45 to 64 Years,0.339
2003FL,2003,FL,Florida,28.9,25 to 44 Years,0.339
2003FL,2003,FL,Florida,34.8,18 to 24 Years,0.339
2003FL,2003,FL,Florida,8.4,65 Years and Older,0.339
2002FL,2002,FL,Florida,9.2,65 Years and Older,0.339
2002FL,2002,FL,Florida,27,25 to 44 Years,0.339
2002FL,2002,FL,Florida,25.8,45 to 64 Years,0.339
2002FL,2002,FL,Florida,22.7,18 to 24 Years,0.339
2010FL,2010,FL,Florida,19.2,45 to 64 Years,1.339
2010FL,2010,FL,Florida,20.2,25 to 44 Years,1.339
2010FL,2010,FL,Florida,21.5,18 to 24 Years,1.339
2010FL,2010,FL,Florida,8.4,65 Years and Older,1.339
1996FL,1996,FL,Florida,23,18 to 24 Years,0.339
1996FL,1996,FL,Florida,10.7,65 Years and Older,0.339
1996FL,1996,FL,Florida,23.9,45 to 64 Years,0.339
1996FL,1996,FL,Florida,27.1,25 to 44 Years,0.339
2001FL,2001,FL,Florida,9.8,65 Years and Older,0.339
2001FL,2001,FL,Florida,28.6,25 to 44 Years,0.339
2001FL,2001,FL,Florida,24.7,18 to 24 Years,0.339
2001FL,2001,FL,Florida,24.7,45 to 64 Years,0.339
2000FL,2000,FL,Florida,23.9,45 to 64 Years,0.339
2000FL,2000,FL,Florida,27.6,18 to 24 Years,0.339
2000FL,2000,FL,Florida,30.2,25 to 44 Years,0.339
2000FL,2000,FL,Florida,9.6,65 Years and Older,0.339
1999GA,1999,GA,Georgia,27.1,18 to 24 Years,0.12
1999GA,1999,GA,Georgia,26.8,25 to 44 Years,0.12
1999GA,1999,GA,Georgia,23,45 to 64 Years,0.12
1999GA,1999,GA,Georgia,13.1,65 Years and Older,0.12
2000GA,2000,GA,Georgia,12,65 Years and Older,0.12
2000GA,2000,GA,Georgia,24,25 to 44 Years,0.12
2000GA,2000,GA,Georgia,25.2,45 to 64 Years,0.12
2000GA,2000,GA,Georgia,31.2,18 to 24 Years,0.12
2002GA,2002,GA,Georgia,26.8,45 to 64 Years,0.12
2002GA,2002,GA,Georgia,26.6,18 to 24 Years,0.12
2002GA,2002,GA,Georgia,23.6,25 to 44 Years,0.12
2002GA,2002,GA,Georgia,10.8,65 Years and Older,0.12
2007GA,2007,GA,Georgia,20.1,25 to 44 Years,0.37
2007GA,2007,GA,Georgia,21.1,45 to 64 Years,0.37
2007GA,2007,GA,Georgia,23.4,18 to 24 Years,0.37
2007GA,2007,GA,Georgia,9.9,65 Years and Older,0.37
2003GA,2003,GA,Georgia,9.5,65 Years and Older,0.37
2003GA,2003,GA,Georgia,24.4,45 to 64 Years,0.37
2003GA,2003,GA,Georgia,25.1,25 to 44 Years,0.37
2003GA,2003,GA,Georgia,25.2,18 to 24 Years,0.37
1998GA,1998,GA,Georgia,26.4,25 to 44 Years,0.12
1998GA,1998,GA,Georgia,25.9,18 to 24 Years,0.12
1998GA,1998,GA,Georgia,24.4,45 to 64 Years,0.12
1998GA,1998,GA,Georgia,12.1,65 Years and Older,0.12
2010GA,2010,GA,Georgia,10.7,65 Years and Older,0.37
1996GA,1996,GA,Georgia,24.4,45 to 64 Years,0.12
1996GA,1996,GA,Georgia,20.6,25 to 44 Years,0.12
1996GA,1996,GA,Georgia,18.7,18 to 24 Years,0.12
1996GA,1996,GA,Georgia,12.9,65 Years and Older,0.12
2004GA,2004,GA,Georgia,26.5,18 to 24 Years,0.37
2004GA,2004,GA,Georgia,20.6,25 to 44 Years,0.37
2004GA,2004,GA,Georgia,20.2,45 to 64 Years,0.37
2004GA,2004,GA,Georgia,11.2,65 Years and Older,0.37
2001GA,2001,GA,Georgia,30.3,18 to 24 Years,0.12
2001GA,2001,GA,Georgia,24.9,25 to 44 Years,0.12
2001GA,2001,GA,Georgia,24.8,45 to 64 Years,0.12
2001GA,2001,GA,Georgia,12,65 Years and Older,0.12
2009GA,2009,GA,Georgia,18,25 to 44 Years,0.37
2010GA,2010,GA,Georgia,13.9,18 to 24 Years,0.37
2010GA,2010,GA,Georgia,18.1,45 to 64 Years,0.37
2010GA,2010,GA,Georgia,20,25 to 44 Years,0.37
2005GA,2005,GA,Georgia,9.1,65 Years and Older,0.37
2005GA,2005,GA,Georgia,29.4,18 to 24 Years,0.37
2005GA,2005,GA,Georgia,23.7,25 to 44 Years,0.37
2005GA,2005,GA,Georgia,22.4,45 to 64 Years,0.37
2009GA,2009,GA,Georgia,20.1,45 to 64 Years,0.37
2009GA,2009,GA,Georgia,21.9,18 to 24 Years,0.37
2009GA,2009,GA,Georgia,9,65 Years and Older,0.37
2008GA,2008,GA,Georgia,7.6,65 Years and Older,0.37
2008GA,2008,GA,Georgia,22,25 to 44 Years,0.37
2008GA,2008,GA,Georgia,20.9,45 to 64 Years,0.37
2008GA,2008,GA,Georgia,20.4,18 to 24 Years,0.37
1997GA,1997,GA,Georgia,24.3,18 to 24 Years,0.12
1997GA,1997,GA,Georgia,10.7,65 Years and Older,0.12
1997GA,1997,GA,Georgia,24.5,25 to 44 Years,0.12
1997GA,1997,GA,Georgia,24.5,45 to 64 Years,0.12
2006GA,2006,GA,Georgia,21.2,45 to 64 Years,0.37
2006GA,2006,GA,Georgia,21.3,25 to 44 Years,0.37
2006GA,2006,GA,Georgia,23.5,18 to 24 Years,0.37
2006GA,2006,GA,Georgia,9.9,65 Years and Older,0.37
1996HI,1996,HI,Hawaii,19.9,45 to 64 Years,0.6
1996HI,1996,HI,Hawaii,10.7,65 Years and Older,0.6
1997HI,1997,HI,Hawaii,22.6,25 to 44 Years,0.8
1997HI,1997,HI,Hawaii,21.1,18 to 24 Years,0.8
2000HI,2000,HI,Hawaii,20.7,45 to 64 Years,0.8
2000HI,2000,HI,Hawaii,21.6,25 to 44 Years,0.8
2000HI,2000,HI,Hawaii,26.3,18 to 24 Years,0.8
2000HI,2000,HI,Hawaii,8.7,65 Years and Older,0.8
1997HI,1997,HI,Hawaii,16.4,45 to 64 Years,0.8
1997HI,1997,HI,Hawaii,10.3,65 Years and Older,0.8
2002HI,2002,HI,Hawaii,22.6,45 to 64 Years,1.2
2002HI,2002,HI,Hawaii,23,25 to 44 Years,1.2
2002HI,2002,HI,Hawaii,30.3,18 to 24 Years,1.2
2002HI,2002,HI,Hawaii,7.3,65 Years and Older,1.2
2008HI,2008,HI,Hawaii,6.5,65 Years and Older,1.9
2003HI,2003,HI,Hawaii,22.3,18 to 24 Years,1.3
2003HI,2003,HI,Hawaii,19.5,25 to 44 Years,1.3
2003HI,2003,HI,Hawaii,17.9,45 to 64 Years,1.3
2008HI,2008,HI,Hawaii,18.7,18 to 24 Years,1.9
2008HI,2008,HI,Hawaii,18.4,25 to 44 Years,1.9
2008HI,2008,HI,Hawaii,16.1,45 to 64 Years,1.9
2007HI,2007,HI,Hawaii,16.5,45 to 64 Years,1.7
2007HI,2007,HI,Hawaii,20.5,25 to 44 Years,1.7
2007HI,2007,HI,Hawaii,21.7,18 to 24 Years,1.7
2007HI,2007,HI,Hawaii,8.3,65 Years and Older,1.7
1999HI,1999,HI,Hawaii,5.4,65 Years and Older,0.8
2010HI,2010,HI,Hawaii,19.4,25 to 44 Years,2.8
2010HI,2010,HI,Hawaii,14.4,45 to 64 Years,2.8
2010HI,2010,HI,Hawaii,12.3,18 to 24 Years,2.8
1999HI,1999,HI,Hawaii,27.4,18 to 24 Years,0.8
1999HI,1999,HI,Hawaii,20.6,45 to 64 Years,0.8
1996HI,1996,HI,Hawaii,34,18 to 24 Years,0.6
1996HI,1996,HI,Hawaii,25,25 to 44 Years,0.6
2001HI,2001,HI,Hawaii,9.7,65 Years and Older,1
2001HI,2001,HI,Hawaii,30.7,18 to 24 Years,1
2001HI,2001,HI,Hawaii,22.7,25 to 44 Years,1
2001HI,2001,HI,Hawaii,20,45 to 64 Years,1
1999HI,1999,HI,Hawaii,20.1,25 to 44 Years,0.8
1998HI,1998,HI,Hawaii,7.1,65 Years and Older,0.8
1998HI,1998,HI,Hawaii,24,18 to 24 Years,0.8
1998HI,1998,HI,Hawaii,23,25 to 44 Years,0.8
2005HI,2005,HI,Hawaii,18.9,25 to 44 Years,1.4
2005HI,2005,HI,Hawaii,18.9,18 to 24 Years,1.4
2005HI,2005,HI,Hawaii,19.7,45 to 64 Years,1.4
2005HI,2005,HI,Hawaii,7.2,65 Years and Older,1.4
2003HI,2003,HI,Hawaii,8.2,65 Years and Older,1.3
1998HI,1998,HI,Hawaii,19.9,45 to 64 Years,0.8
2006HI,2006,HI,Hawaii,19,45 to 64 Years,1.5
2006HI,2006,HI,Hawaii,19.1,18 to 24 Years,1.5
2006HI,2006,HI,Hawaii,21.3,25 to 44 Years,1.5
2009HI,2009,HI,Hawaii,5.9,65 Years and Older,2.3
2009HI,2009,HI,Hawaii,14.9,45 to 64 Years,2.3
2009HI,2009,HI,Hawaii,15.3,18 to 24 Years,2.3
2009HI,2009,HI,Hawaii,20.8,25 to 44 Years,2.3
2010HI,2010,HI,Hawaii,7.2,65 Years and Older,2.8
2006HI,2006,HI,Hawaii,6.7,65 Years and Older,1.5
2000ID,2000,ID,Idaho,9.5,65 Years and Older,0.28
2000ID,2000,ID,Idaho,26.5,25 to 44 Years,0.28
2000ID,2000,ID,Idaho,22.6,45 to 64 Years,0.28
2000ID,2000,ID,Idaho,27,18 to 24 Years,0.28
2009ID,2009,ID,Idaho,8.3,65 Years and Older,0.57
2009ID,2009,ID,Idaho,17.5,45 to 64 Years,0.57
2009ID,2009,ID,Idaho,18,25 to 44 Years,0.57
2009ID,2009,ID,Idaho,18.9,18 to 24 Years,0.57
2010ID,2010,ID,Idaho,8.6,65 Years and Older,0.57
2010ID,2010,ID,Idaho,18.2,25 to 44 Years,0.57
2010ID,2010,ID,Idaho,17.2,18 to 24 Years,0.57
2010ID,2010,ID,Idaho,15.8,45 to 64 Years,0.57
2001ID,2001,ID,Idaho,8.9,65 Years and Older,0.28
2001ID,2001,ID,Idaho,24.4,18 to 24 Years,0.28
2001ID,2001,ID,Idaho,21.8,25 to 44 Years,0.28
2001ID,2001,ID,Idaho,21,45 to 64 Years,0.28
1999ID,1999,ID,Idaho,31.4,18 to 24 Years,0.28
2006ID,2006,ID,Idaho,8.1,65 Years and Older,0.57
2006ID,2006,ID,Idaho,21.7,18 to 24 Years,0.57
2006ID,2006,ID,Idaho,19.4,25 to 44 Years,0.57
1996ID,1996,ID,Idaho,26.1,18 to 24 Years,0.28
1996ID,1996,ID,Idaho,24.3,25 to 44 Years,0.28
1996ID,1996,ID,Idaho,21,45 to 64 Years,0.28
1996ID,1996,ID,Idaho,10.8,65 Years and Older,0.28
2008ID,2008,ID,Idaho,17.2,18 to 24 Years,0.57
2003ID,2003,ID,Idaho,10.3,65 Years and Older,0.57
2003ID,2003,ID,Idaho,18.8,45 to 64 Years,0.57
2003ID,2003,ID,Idaho,21.3,25 to 44 Years,0.57
2003ID,2003,ID,Idaho,22.8,18 to 24 Years,0.57
2008ID,2008,ID,Idaho,8.9,65 Years and Older,0.57
2008ID,2008,ID,Idaho,20.2,25 to 44 Years,0.57
2008ID,2008,ID,Idaho,16.7,45 to 64 Years,0.57
2007ID,2007,ID,Idaho,20,25 to 44 Years,0.57
2007ID,2007,ID,Idaho,8.2,65 Years and Older,0.57
2007ID,2007,ID,Idaho,25.2,18 to 24 Years,0.57
2007ID,2007,ID,Idaho,21,45 to 64 Years,0.57
1998ID,1998,ID,Idaho,9.9,65 Years and Older,0.28
2006ID,2006,ID,Idaho,15.9,45 to 64 Years,0.57
2004ID,2004,ID,Idaho,17.8,18 to 24 Years,0.57
2004ID,2004,ID,Idaho,19,45 to 64 Years,0.57
2004ID,2004,ID,Idaho,20.2,25 to 44 Years,0.57
2004ID,2004,ID,Idaho,7.4,65 Years and Older,0.57
1998ID,1998,ID,Idaho,28.6,18 to 24 Years,0.28
1998ID,1998,ID,Idaho,22.7,25 to 44 Years,0.28
2005ID,2005,ID,Idaho,19.3,18 to 24 Years,0.57
2005ID,2005,ID,Idaho,8,65 Years and Older,0.57
2005ID,2005,ID,Idaho,20.7,25 to 44 Years,0.57
2005ID,2005,ID,Idaho,19.1,45 to 64 Years,0.57
1997ID,1997,ID,Idaho,24.8,18 to 24 Years,0.28
1997ID,1997,ID,Idaho,23.2,25 to 44 Years,0.28
1997ID,1997,ID,Idaho,19.2,45 to 64 Years,0.28
1997ID,1997,ID,Idaho,10.1,65 Years and Older,0.28
1999ID,1999,ID,Idaho,23.7,25 to 44 Years,0.28
1999ID,1999,ID,Idaho,20.8,45 to 64 Years,0.28
1998ID,1998,ID,Idaho,19.7,45 to 64 Years,0.28
2002ID,2002,ID,Idaho,19.4,45 to 64 Years,0.28
2002ID,2002,ID,Idaho,24.7,25 to 44 Years,0.28
2002ID,2002,ID,Idaho,25.6,18 to 24 Years,0.28
2002ID,2002,ID,Idaho,8.4,65 Years and Older,0.28
1999ID,1999,ID,Idaho,10.9,65 Years and Older,0.28
2002IL,2002,IL,Illinois,27.6,18 to 24 Years,0.98
2002IL,2002,IL,Illinois,24.6,25 to 44 Years,0.98
2002IL,2002,IL,Illinois,24.3,45 to 64 Years,0.98
2002IL,2002,IL,Illinois,11.8,65 Years and Older,0.98
1996IL,1996,IL,Illinois,12.4,65 Years and Older,0.44
1996IL,1996,IL,Illinois,26.4,45 to 64 Years,0.44
1996IL,1996,IL,Illinois,27.1,25 to 44 Years,0.44
1996IL,1996,IL,Illinois,31.2,18 to 24 Years,0.44
2009IL,2009,IL,Illinois,20.4,18 to 24 Years,0.98
2009IL,2009,IL,Illinois,21.7,25 to 44 Years,0.98
2009IL,2009,IL,Illinois,8.2,65 Years and Older,0.98
2009IL,2009,IL,Illinois,19.6,45 to 64 Years,0.98
2006IL,2006,IL,Illinois,27.7,18 to 24 Years,0.98
2006IL,2006,IL,Illinois,20.9,45 to 64 Years,0.98
2006IL,2006,IL,Illinois,22.6,25 to 44 Years,0.98
2006IL,2006,IL,Illinois,8.6,65 Years and Older,0.98
1998IL,1998,IL,Illinois,24.4,45 to 64 Years,0.58
1998IL,1998,IL,Illinois,26.5,25 to 44 Years,0.58
1998IL,1998,IL,Illinois,29.7,18 to 24 Years,0.58
1998IL,1998,IL,Illinois,8.9,65 Years and Older,0.58
2004IL,2004,IL,Illinois,19.9,45 to 64 Years,0.98
2004IL,2004,IL,Illinois,26.2,25 to 44 Years,0.98
2004IL,2004,IL,Illinois,31.4,18 to 24 Years,0.98
2004IL,2004,IL,Illinois,9.4,65 Years and Older,0.98
1999IL,1999,IL,Illinois,23.5,45 to 64 Years,0.58
1999IL,1999,IL,Illinois,28,25 to 44 Years,0.58
1999IL,1999,IL,Illinois,29.2,18 to 24 Years,0.58
1997IL,1997,IL,Illinois,21.5,45 to 64 Years,0.58
1997IL,1997,IL,Illinois,28.5,25 to 44 Years,0.58
1997IL,1997,IL,Illinois,31.7,18 to 24 Years,0.58
1997IL,1997,IL,Illinois,7.7,65 Years and Older,0.58
2003IL,2003,IL,Illinois,10.5,65 Years and Older,0.98
2001IL,2001,IL,Illinois,24.7,45 to 64 Years,0.58
2001IL,2001,IL,Illinois,26.6,25 to 44 Years,0.58
2001IL,2001,IL,Illinois,31.6,18 to 24 Years,0.58
2001IL,2001,IL,Illinois,9.2,65 Years and Older,0.58
2005IL,2005,IL,Illinois,8.6,65 Years and Older,0.98
2005IL,2005,IL,Illinois,26.8,18 to 24 Years,0.98
2005IL,2005,IL,Illinois,21.7,25 to 44 Years,0.98
2005IL,2005,IL,Illinois,20.7,45 to 64 Years,0.98
1999IL,1999,IL,Illinois,13.4,65 Years and Older,0.58
2010IL,2010,IL,Illinois,8.5,65 Years and Older,0.98
2010IL,2010,IL,Illinois,20.5,18 to 24 Years,0.98
2010IL,2010,IL,Illinois,18.7,25 to 44 Years,0.98
2010IL,2010,IL,Illinois,17.8,45 to 64 Years,0.98
2003IL,2003,IL,Illinois,28.4,18 to 24 Years,0.98
2003IL,2003,IL,Illinois,26.6,25 to 44 Years,0.98
2003IL,2003,IL,Illinois,23.4,45 to 64 Years,0.98
2000IL,2000,IL,Illinois,8.7,65 Years and Older,0.58
2000IL,2000,IL,Illinois,29.4,18 to 24 Years,0.58
2000IL,2000,IL,Illinois,27.1,25 to 44 Years,0.58
2008IL,2008,IL,Illinois,9.8,65 Years and Older,0.98
2008IL,2008,IL,Illinois,23.9,25 to 44 Years,0.98
2008IL,2008,IL,Illinois,21.3,45 to 64 Years,0.98
2008IL,2008,IL,Illinois,28.4,18 to 24 Years,0.98
2000IL,2000,IL,Illinois,21,45 to 64 Years,0.58
2007IL,2007,IL,Illinois,10.2,65 Years and Older,0.98
2007IL,2007,IL,Illinois,21.3,45 to 64 Years,0.98
2007IL,2007,IL,Illinois,22.4,25 to 44 Years,0.98
2007IL,2007,IL,Illinois,23.5,18 to 24 Years,0.98
2002IN,2002,IN,Indiana,32.3,25 to 44 Years,0.555
2007IN,2007,IN,Indiana,9.5,65 Years and Older,0.775
2007IN,2007,IN,Indiana,29.8,18 to 24 Years,0.775
2007IN,2007,IN,Indiana,28.2,25 to 44 Years,0.775
2007IN,2007,IN,Indiana,24.8,45 to 64 Years,0.775
2008IN,2008,IN,Indiana,41.1,18 to 24 Years,0.995
2008IN,2008,IN,Indiana,27.3,25 to 44 Years,0.995
2008IN,2008,IN,Indiana,26,45 to 64 Years,0.995
2008IN,2008,IN,Indiana,11.7,65 Years and Older,0.995
2000IN,2000,IN,Indiana,12,65 Years and Older,0.155
2000IN,2000,IN,Indiana,25.6,45 to 64 Years,0.155
2000IN,2000,IN,Indiana,31,25 to 44 Years,0.155
2000IN,2000,IN,Indiana,37.4,18 to 24 Years,0.155
1999IN,1999,IN,Indiana,31.4,18 to 24 Years,0.155
1999IN,1999,IN,Indiana,15.1,65 Years and Older,0.155
1999IN,1999,IN,Indiana,25.2,45 to 64 Years,0.155
2006IN,2006,IN,Indiana,8.5,65 Years and Older,0.555
2006IN,2006,IN,Indiana,34.6,18 to 24 Years,0.555
2006IN,2006,IN,Indiana,27.4,25 to 44 Years,0.555
